Store Number,Store Name,Customer Segment,Address,County,Store Longitude,Store Latitude
5835,CASEY'S GENERAL STORE #3961 / MARCUS,Need Attention,406 HWY 3,CHEROKEE,-95.7986,42.80795
4191,FAREWAY STORES #995 / PELLA,Big Spenders,2010 WASHINGTON ST,MARION,-92.94174,41.41217
6256,821 SQ LIQUOR / DES MOINES,Champions,821 EAST EUCLID AVENUE,POLK,-93.60758,41.62773
5571,CASEY'S GENERAL STORE #2782 / CEDAR RAPIDS,Big Spenders,1495 BLAIRS FERRY RD NE,LINN,-91.65787,42.03528
5097,FAREWAY STORES #151 / CEDAR RAPIDS,Potential Loyalist,3717 1ST AVE SE,LINN,-91.63454,42.01692
10050,TOBACCO HUT / ANKENY,Big Spenders,121 N. ANKENY BLVD.,POLK,-93.59985,41.73307
5604,CASEY'S GENERAL STORE #1599 / MT VERNON,Potential Loyalist,323 HWY 30 W,LINN,-91.42485,41.91621
5469,CHROME TRUCK STOP,Big Spenders,211 HIGHWAY 18 E.,KOSSUTH,-94.23677,43.08281
3790,WAL-MART 0784 / MT PLEASAN,Champions,1045 N GRAND AVE,HENRY,-91.53949,40.97954
4021,WAL-MART 0985 / FAIRFIELD,Champions,2701 W BURLINGTON AVE,JEFFERSON,-91.99342,41.00638
2684,HY-VEE - FOREST CITY,Champions,315 HIGHWAY 69 N,WINNEBAGO,-93.63235,43.26804
5489,CASEY'S GENERAL STORE #1550 / WINFIELD,Big Spenders,201 N LOCUST,HENRY,-91.43792,41.12993
5428,CASEY'S GENERAL STORE # 2789/ CEDAR RAPIDS,Big Spenders,888 VERNON VALLEY DRIVE SE,LINN,-91.55361,41.97709
5798,CASEY'S GENERAL STORE #3528 / WASHINGTON,Big Spenders,1730 E WASHINGTON ST,WASHINGTON,-91.67049,41.29814
6214,CASEY'S #3934 / ANKENY,Big Spenders,1515 SE CORPORATE WOODS DR,POLK,-93.57297,41.67985
4429,KUM & GO #32 / COLFAX,Big Spenders,1200 N WALNUT ST,JASPER,-93.24741,41.68613
5869,TOBACCO OUTLET PLUS #507 - URBANDALE,Champions,6941 DOUGLAS AVE,POLK,-93.71198,41.62938
5940,LAKELAND EZ STOP / RUTHVEN,Big Spenders,3474 OLD HWY 18,PALO ALTO,-94.89854,43.12648
6342,TOBACCO MART / URBANDALE,Champions,6535 DOUGLAS AVE,POLK,-93.70716,41.62968
5128,PRICE CHOPPER  /  BEAVER #1310,Champions,1819 BEAVER AVE,POLK,-93.67302,41.61105
6289,DASHMART / URBANDALE,Need Attention,3180 100TH STREET,POLK,-93.75582,41.62396
5626,CORWITH FARM SERVICE,Need Attention,205 NW ELM ST,HANCOCK,-93.95746,42.99278
9052,173 CRAFT DISTILLERY (ET),Need Attention,306 1ST AVENUE NORTH,CERRO GORDO,-93.38241,43.1369
4234,FAREWAY STORES #788 / SPENCER,Big Spenders,104 E EIGHTH ST,CLAY,-95.14338,43.14577
5877,CASEY'S GENERAL STORE #1659 / ANKENY,Big Spenders,302 S ANKENY BLVD,POLK,-93.60078,41.72912
4247,FAREWAY STORES #879 / BELMOND,Champions,512 RIVER AVE N,WRIGHT,-93.61679,42.85054
5894,WHISKEY BUSINESS / ALLERTON,Potential Loyalist,104 N PRAIRIE ST,WAYNE,-93.36933,40.70677
10029,ROYAL MART / DES MOINES,Champions,111 SOUTHWEST 63RD STREET,POLK,-93.70334,41.5788
5655,ONE STOP SHOP #3 / ALGONA,Champions,220 S PHILLIPS ST,KOSSUTH,-94.22686,43.06723
3654,THE BEVERAGE SHOP / BELMOND,Big Spenders,207 E MAIN ST,WRIGHT,-93.61523,42.8459
4150,FAREWAY STORES #951 / WATERLOO,Champions,40  W SAN MARNAN,BLACK HAWK,-92.35741,42.4575
4609,KUM & GO #579 / ANKENY,Big Spenders,165 SW MAGAZINE RD,POLK,-93.60161,41.71729
2702,HY-VEE GAS #1 / ANKENY,Big Spenders,414 N ANKENY BLVD,POLK,-93.60093,41.73519
2651,HY-VEE / WAVERLY,Champions,1311 4 STREET SW,BREMER,-92.47549,42.71222
6145,THE DEPOT VAN HORNE,Big Spenders,101 1ST AVE,BENTON,-92.08606,42.00738
4439,CENTER POINT FOODS,Big Spenders,800 FORD LANE,LINN,-91.7761,42.17772
4299,HOMETOWN MARKET WATERHOUSE / CENTRAL CITY,Need Attention,9 WATERHOUSE AVE,LINN,-91.53132,42.19927
4866,TOBACCO HUT #18 / COUNCIL BLUFFS,Champions,429 VETERANS MEMORIAL,POTTAWATTAMIE,-95.85186,41.21919
2582,HY-VEE #2 FOOD STORE / MASON CITY,Champions,551 S ILLINOIS AVE,CERRO GORDO,-93.17116,43.14639
5859,LIQUOR TOBACCO & GROCERY - MASON CITY,Champions,18 NORTH MONROE AVENUE,CERRO GORDO,-93.20865,43.1523
4102,FAREWAY STORES #386 / AMES,Champions,619 BURNETT AVE,STORY,-93.61541,42.02743
3973,MMDG SPIRITS / AMES,Champions,126A WELCH AVE,STORY,-93.65013,42.02179
6068,STAR CONVENIENCE #115/ FORT DODGE,Potential Loyalist,115 N 22ND ST,WEBSTER,-94.168,42.50787
4738,CASEY'S GENERAL STORE #2284 / COUNCIL BLUFFS,Big Spenders,"1030, VETERAN MEMORIAL HWY",POTTAWATTAMIE,-95.8603,41.21983
4674,KUM & GO #227 / AMES,Big Spenders,2108 ISAAC NEWTON DR,STORY,-93.5858,42.00956
3528,SUPER TARGET T-0804 MASON CITY,Big Spenders,3450  4TH ST SW,CERRO GORDO,-93.25294,43.14869
5941,PRIME MART - CEDAR FALLS,Big Spenders,2728 CENTER ST,BLACK HAWK,-92.45598,42.56105
4103,FAREWAY STORES #093 / AMES,Champions,3619 STANGE RD,STORY,-93.64507,42.05712
2201,HAPPY'S WINE & SPIRITS WHOLESALE,Champions,5925 UNIVERSITY AVE,BLACK HAWK,-92.42851,42.51302
2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,Champions,2400 4TH ST SW,CERRO GORDO,-93.2361,43.14843
5135,FAREWAY STORES #155 / HUXLEY,Champions,911 HWY 69,STORY,-93.60713,41.9012
3477,SAM'S CLUB 6472 / COUNCIL BLUFFS,Champions,3221 MANAWA CENTRE DR,POTTAWATTAMIE,-95.84725,41.22763
5314,TOBACCO HUT & LIQUOR,Champions,3134 MANAWA CENTER DR. # 9,POTTAWATTAMIE,-95.84749,41.2287
4590,CASEY'S GENERAL STORE #3045 / CEDAR FALLS,Big Spenders,"601, MAIN ST",BLACK HAWK,-92.44559,42.53296
5915,THE HUT / COUNCIL BLUFFS,Potential Loyalist,1925 W BROADWAY,POTTAWATTAMIE,-95.87297,41.26156
10091,CASEY'S #6116 / COUNCIL BLUFFS,Potential Loyalist,15 NORTH 16TH STREET,POTTAWATTAMIE,-95.86752,41.26256
3629,WAL-MART 1965 / COUNCIL BLUFFS,Champions,3200 MANAWA DR,POTTAWATTAMIE,-95.84887,41.22617
4675,KUM & GO #1113 / AMES,Big Spenders,2801 E 13TH ST,STORY,-93.57572,42.03451
5391,CASEY'S GENERAL STORE # 1896/ CLEAR LAKE,Potential Loyalist,202 HWY 18,CERRO GORDO,-93.38829,43.14306
4015,WAL-MART 0749 / AMES,Champions,3015 GRAND AVE,STORY,-93.62062,42.05207
3880,TARGET STORE T-2454 / COUNCIL BLUFFS,Big Spenders,3804 METRO DR,POTTAWATTAMIE,-95.8377,41.22102
4119,TARGET STORE T-2526 / CEDAR FALLS,Big Spenders,214 VIKING PLAZA DR,BLACK HAWK,-92.44431,42.48292
5465,KUM & GO #1215 / AMES,Champions,4506 LINCOLN WAY,STORY,-93.56281,42.02299
4626,KWIK SHOP #527 / COUNCIL BLUFFS,Potential Loyalist,"3632, AVENUE G",POTTAWATTAMIE,-95.90609,41.2683
5453,CASEY'S GENERAL STORE # 2817/ GRISWOLD,Big Spenders,900 MAIN ST.,CASS,-95.13687,41.23467
5425,SPIRITS LIQUOR / GRIMES,Big Spenders,109 E 1ST STREET,POLK,-93.79382,41.68838
6220,PRIME WINE AND SPIRITS / MASON CITY,Potential Loyalist,1104 NORTH FEDERAL AVENUE,CERRO GORDO,-93.2011,43.16219
6144,NORTHSIDE LIQUOR AND GROCERY / MASON CITY,Champions,1303 N FEDERAL,CERRO GORDO,-93.20109,43.16367
4091,FAREWAY STORES #705 / CLEAR LAKE,Champions,910 HWY 18 W,CERRO GORDO,-93.40042,43.14227
5849,SUPER QUICK STOP - COUNCIL BLUFFS,Big Spenders,2800 TWIN CITY DR. SUITE 10,POTTAWATTAMIE,-95.8902,41.21624
5195,CASEY'S GENERAL STORE #3203 / COUNCI,Big Spenders,"1928, SHERWOOD DR",POTTAWATTAMIE,-95.81181,41.27836
4159,FAREWAY STORES #073 / COUNCIL BLUFFS,Potential Loyalist,310 MCKENZIE AVE,POTTAWATTAMIE,-95.81894,41.28021
2613,HY-VEE FOOD STORE #1 / COUNCIL BLUFFS,Champions,2323 W BROADWAY,POTTAWATTAMIE,-95.87957,41.26193
2835,CVS PHARMACY #8538 / CEDAR FALLS,Need Attention,2302 WEST FIRST ST,BLACK HAWK,-92.47279,42.53991
5652,AVENUE G STORE / COUNCIL BLUFFS,Potential Loyalist,1602 AVENUE G,POTTAWATTAMIE,-95.86797,41.26802
4969,LAKE LIQUORS WINE AND SPIRITS,Champions,910 N 8TH ST W,CERRO GORDO,-93.39665,43.14276
4723,WALGREENS #10557 / CEDAR FALLS,Need Attention,2509 WHITETAIL DR,BLACK HAWK,-92.4765,42.54055
2652,HY-VEE DRUGSTORE / MASON CITY,Champions,875  4TH ST SW,CERRO GORDO,-93.21409,43.1483
4503,CASEY'S GENERAL STORE #38 / TREYNOR,Big Spenders,102 W MAIN ST,POTTAWATTAMIE,-95.6174,41.23249
6304,WORLD LIQUOR & TOBACCO + VAPORS / AMES,Champions,111 DUFF AVENUE,STORY,-93.61038,42.02358
4104,FAREWAY STORES #491 / MASON CITY,Potential Loyalist,400 NORTH DELAWARE AVE,CERRO GORDO,-93.19948,43.15553
6012,CASEY'S GENERAL STORE #1893 / MASON CITY,Big Spenders,1607 S FEDERAL AVE,CERRO GORDO,-93.2011,43.13595
4631,THUNDER RIDGE AMPRIDE,Champions,2425 WHITETAIL DRIVE,BLACK HAWK,-92.47498,42.53996
5861,TAYLOR QUIK PIK - COUNCIL BLUFFS,Big Spenders,14151 WABASH AVENUE,POTTAWATTAMIE,-95.81776,41.22046
4509,AJ'S LIQUOR II,Champions,2515 CHAMBERLAIN,STORY,-93.65084,42.02144
5913,CASEY'S GENERAL STORE #1427 / CLEAR LAKE,Big Spenders,6 PLAZA DR,CERRO GORDO,-93.3605,43.14588
4516,CASEY'S GENERAL STORE #1569 / OAKLAND,Big Spenders,205 BROWN ST,POTTAWATTAMIE,-95.39974,41.30496
4740,WALGREENS #04405 / COUNCIL BLUFFS,Potential Loyalist,2508 W BROADWAY,POTTAWATTAMIE,-95.88311,41.26196
5536,THE FILLING STATION / AMES,Big Spenders,2400 UNIVERSITY BLVD,STORY,-93.63946,42.00072
3889,WAL-MART 1005 / WAVERLY,Champions,700  29 ST SW,BREMER,-92.47388,42.70032
3713,WAL-MART 0810 / MASON CITY,Champions,4151 4TH ST SW,CERRO GORDO,-93.26371,43.14821
3728,BREWSKI'S BEVERAGE,Big Spenders,726 CREEK TOP,POTTAWATTAMIE,-95.85481,41.26236
5280,YESWAY STORE # 10011/ MASON CITY,Big Spenders,1920 FEDERAL AVE S,CERRO GORDO,-93.20111,43.1332
4668,RANDY'S NEIGHBORHOOD MARKET / CLEARLAKE,Potential Loyalist,20 SOUTH 4TH ST,CERRO GORDO,-93.38038,43.13594
6224,MID TOWN LIQUOR & VAPE / MASON CITY,Potential Loyalist,824 NORTH FEDERAL AVENUE,CERRO GORDO,-93.20108,43.15973
3514,KAREN'S SPIRITS AND WINE,Champions,328  2ND AVE S,WEBSTER,-94.19245,42.50233
6194,HY-VEE DOLLAR FRESH / NEVADA,Champions,1622 FAWCETT PARKWAY,STORY,-93.43801,42.01266
2712,HY-VEE / DECORAH,Champions,915 SHORT ST #107,WINNESHIEK,-91.79731,43.29116
4932,B AND B WEST,Big Spenders,3105 HUDSON RD,BLACK HAWK,-92.46582,42.5092
2459,JUBILEE FOODS,Potential Loyalist,200 STATE ST,GUTHRIE,-94.50528,41.67725
5648,FAREWAY STORES #189 / AMES,Big Spenders,3720 LINCOLN WAY,STORY,-93.66893,42.02286
3644,WAL-MART 2764 / ALTOONA,Champions,3501 8TH ST SW,POLK,-93.50478,41.64419
4511,SUPER QUICK / SE 30 DM,Champions,303 SE 30TH ST,POLK,-93.5583,41.58527
2560,HY-VEE FOOD STORE (1396) / MARION,Champions,3600 BUSINESS HWY 151 EAST,LINN,-91.57211,42.03599
2618,HY-VEE DRUGSTORE #6 / CEDAR RAPIDS,Champions,505 BOYSON RD NE,LINN,-91.63912,42.04672
6090,CIRCLE K #22654125 / PERRY,Big Spenders,1219 1ST AVE,DALLAS,-94.10659,41.84022
2649,HY-VEE #3 / DUBUQUE,Champions,400 LOCUST ST,DUBUQUE,-90.66657,42.49736
5327,MEGA SAVER #3540 / COUNCIL BLUFFS,Champions,3540 W BROADWAY,POTTAWATTAMIE,-95.90376,41.26218
3868,WAL-MART 3630 / MARION,Champions,5491 BUSINESS HWY 151,LINN,-91.55323,42.03567
2679,HY-VEE FAST & FRESH/ALTOONA,Potential Loyalist,3950 PRARIE FIRE NW,POLK,-93.50942,41.65195
2505,HY-VEE WINE AND SPIRITS (1038) / BOONE,Champions,1111  8TH ST,BOONE,-93.87572,42.06382
5333,FAREWAY STORES #166/ ANAMOSA,Big Spenders,402 E MAIN,JONES,-91.28133,42.10826
6209,HY-VEE / GRIMES,Champions,351 NORTHEAST GATEWAY DRIVE,POLK,-93.77819,41.69155
6201,NEIGHBORHOOD TOBACCO OUTLET / MARION,Champions,2500 7TH AVENUE,LINN,-91.58559,42.03326
4753,CASEY'S GENERAL STORE #2521 / ADAIR,Big Spenders,110 S 5TH ST,ADAIR,-94.64347,41.49592
6126,CASH SAVER #34 / DES MOINES,Potential Loyalist,4121 FLEUR DRIVE,POLK,-93.64493,41.54698
5801,CASEY'S GENERAL STORE #2647 / CENTER POINT,Big Spenders,4397 N CENTER POINT,LINN,-91.77432,42.18243
4930,CASEY'S GENERAL STORE #3251 / BOONE,Big Spenders,1303 SE MARSHALL ST,BOONE,-93.87311,42.0351
